repo,repo_age_months,stars,forks,days_since_last_commit,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,year,month
ghostty-org__ghostty,19,44251,1695,0,20,498,13,135,133,127,93,93,2023,9
OpenHands__OpenHands,7,68077,8482,0,25,307,9,360,357,307,91,93,2024,9
medusajs__medusa,57,32086,4074,0,18,305,5,363,360,315,90,93,2024,9
AlistGo__alist,36,49029,7988,0,11,39,4,13,17,13,90,93,2023,11
valinet__ExplorerPatcher,28,31603,1282,9,1,21,0,1,1,0,90,93,2023,11
vitejs__vite,56,78282,7842,0,38,136,18,163,155,132,82,93,2024,11
openai__openai-agents-python,7,19082,3175,0,31,93,23,131,136,90,82,93,2025,9
xtekky__gpt4free,12,65713,13667,0,12,116,6,37,38,34,68,93,2024,2
activepieces__activepieces,10,20913,3320,0,23,529,9,130,138,123,60,93,2023,9
ComposioHQ__composio,21,27126,4448,0,10,132,1,67,73,58,50,93,2025,10
colinhacks__zod,25,41894,1819,0,12,107,8,29,36,24,39,93,2022,3
lss233__kirara-ai,29,18372,1830,3,4,55,2,8,10,9,16,93,2025,4
type-challenges__type-challenges,31,47676,5213,0,12,23,6,33,26,17,1495,92,2023,1
type-challenges__type-challenges,47,47676,5213,1,11,18,6,8,18,14,313,92,2024,5
ggml-org__llama.cpp,12,95602,15021,0,86,260,45,291,262,222,212,92,2024,2
KRTirtho__spotube,50,44448,1980,2,4,48,3,15,10,8,195,92,2025,3
BerriAI__litellm,17,36574,5916,0,16,257,9,224,189,148,191,92,2024,11
huggingface__smolagents,2,25567,2304,0,69,253,68,256,228,184,176,92,2025,1
AppFlowy-IO__AppFlowy,28,68177,4901,1,28,98,14,91,103,89,158,92,2023,9
invoke-ai__InvokeAI,1,26783,2776,0,35,380,35,97,91,73,151,92,2022,8
zed-industries__zed,15,75691,7024,0,6,512,0,100,101,98,143,92,2022,4
hcengineering__platform,31,24470,1707,0,19,195,6,217,208,197,136,92,2024,2
microsoft__autogen,7,54714,8239,0,40,135,18,171,157,136,135,92,2024,2
marticliment__UniGetUI,17,21247,720,0,6,292,4,67,67,62,134,92,2022,10
juspay__hyperswitch,20,40442,4564,0,38,211,5,205,208,186,124,92,2024,5
SagerNet__sing-box,34,30738,3590,0,3,31,1,21,16,9,119,92,2025,3
helix-editor__helix,50,43032,3318,0,55,137,31,135,120,92,115,92,2024,7
OpenHands__OpenHands,8,68077,8482,0,27,303,11,422,412,301,114,92,2024,10
FuelLabs__sway,26,61936,5430,0,23,128,2,143,139,131,108,92,2023,2
hiyouga__LlamaFactory,2,67432,8208,0,5,77,3,9,9,6,103,92,2023,6
Mintplex-Labs__anything-llm,19,54854,5907,0,6,46,4,76,92,34,102,92,2024,12
waydabber__BetterDisplay,16,29870,550,1,1,17,0,0,0,0,102,92,2023,1
opendatalab__MinerU,18,54771,4540,0,9,400,6,145,156,139,100,92,2025,7
labring__FastGPT,22,27142,6927,0,12,59,5,132,136,126,100,92,2024,11
ChatGPTNextWeb__NextChat,14,87336,60339,0,13,70,4,69,62,27,98,92,2024,4
withastro__astro,32,56986,3155,0,40,240,20,156,147,127,96,92,2023,10
huggingface__diffusers,33,32824,6782,0,55,138,26,155,157,137,96,92,2025,1
lllyasviel__Fooocus,8,47742,7789,7,12,59,9,45,52,40,88,92,2024,3
PostHog__posthog,50,31333,2298,0,30,432,0,486,480,410,86,92,2024,2
XTLS__Xray-core,41,35195,4969,0,13,41,5,41,39,32,84,92,2024,3
payloadcms__payload,36,40705,3392,0,18,161,9,144,130,120,83,92,2023,12
crewAIInc__crewAI,19,44446,5959,0,20,78,7,135,130,60,82,92,2025,4
shadps4-emu__shadPS4,29,28357,1935,0,33,173,9,191,174,157,63,92,2025,2
RVC-Project__Retrieval-based-Voice-Conversion-WebUI,15,34511,4904,90,0,0,0,11,11,7,48,92,2024,5
Pythagora-io__gpt-pilot,9,33793,3503,0,4,44,1,21,20,17,40,92,2024,4
langchain-ai__langchain,6,127113,20906,0,131,347,111,17,9,9,338,91,2023,3
AUTOMATIC1111__stable-diffusion-webui,9,160723,29984,0,43,209,27,102,116,58,304,91,2023,4
vllm-project__vllm,11,70898,13607,0,37,99,26,153,130,100,280,91,2023,12
github__spec-kit,3,71354,6162,3,28,187,25,114,112,44,208,91,2025,10
tailscale__tailscale,70,28560,2292,0,29,161,6,191,179,157,167,91,2025,10
lobehub__lobehub,27,72501,14652,0,27,0,9,146,151,116,144,91,2025,7
usebruno__bruno,38,41017,2134,0,27,99,13,124,142,91,140,91,2025,10
motion-canvas__motion-canvas,7,18182,716,0,38,148,35,150,143,134,138,91,2023,2
coollabsio__coolify,49,50871,3650,0,27,423,17,98,91,64,130,91,2025,1
louislam__uptime-kuma,19,83039,7427,0,34,226,20,69,59,45,127,91,2023,1
PostHog__posthog,33,31333,2298,0,22,299,2,346,331,297,125,91,2022,9
withastro__astro,6,56986,3155,0,52,264,36,175,177,150,123,91,2021,8
hyprwm__Hyprland,11,33974,1574,0,16,119,12,22,23,22,119,91,2023,1
run-llama__llama_index,26,47101,6859,0,67,143,42,162,159,144,116,91,2024,12
PaddlePaddle__PaddleOCR,2,70925,9839,0,10,193,7,53,52,48,112,91,2020,6
zed-industries__zed,24,75691,7024,0,9,313,1,76,78,75,109,91,2023,1
element-plus__element-plus,5,27169,19859,0,21,124,8,104,110,92,104,91,2020,11
OpenBB-finance__OpenBB,47,60495,5898,0,24,55,20,101,100,59,104,91,2024,10
valinet__ExplorerPatcher,32,31603,1282,0,1,17,0,1,0,0,98,91,2024,3
backstage__backstage,6,32641,7099,0,40,1078,22,321,320,279,96,91,2020,6
element-plus__element-plus,59,27169,19859,0,24,77,7,83,87,79,95,91,2025,5
SimplifyJobs__Summer2026-Internships,46,43476,3165,0,8,0,6,2,1,0,93,91,2024,2
valinet__ExplorerPatcher,33,31603,1282,0,2,11,0,0,0,0,92,91,2024,4
vercel__turborepo,33,29837,2260,1,28,171,13,198,208,183,88,91,2024,6
Dokploy__dokploy,12,30796,2102,0,26,410,17,97,99,94,85,91,2025,3
rustdesk__rustdesk,33,107767,16025,0,22,309,6,99,99,90,82,91,2023,5
actualbudget__actual,34,25090,2183,0,45,148,25,136,117,98,79,91,2025,1
ToolJet__ToolJet,45,37448,4952,0,31,324,8,194,173,129,73,91,2024,11
HeyPuter__puter,5,39571,3509,0,39,304,32,63,72,63,71,91,2024,7
heroui-inc__heroui,42,28189,2061,0,22,64,11,49,77,60,66,91,2024,9
vllm-project__vllm,10,70898,13607,0,35,78,26,108,105,77,223,90,2023,11
Comfy-Org__ComfyUI,12,103847,11865,0,10,109,4,47,36,21,220,90,2023,12
RVC-Boss__GPT-SoVITS,3,55190,6028,0,9,43,2,67,49,28,203,90,2024,3
tailscale__tailscale,71,28560,2292,1,28,136,3,177,151,139,189,90,2025,11
dotnet__maui,15,23180,1913,0,17,211,2,154,142,129,162,90,2021,7
helix-editor__helix,27,43032,3318,0,47,146,22,182,163,120,126,90,2022,8
agno-agi__agno,42,38063,5037,0,53,299,31,272,225,192,122,90,2025,10
CherryHQ__cherry-studio,7,40044,3689,0,7,143,4,10,10,10,122,90,2024,11
PostHog__posthog,32,31333,2298,0,28,361,4,410,408,367,116,90,2022,8
danny-avila__LibreChat,18,34029,6858,0,14,50,7,65,59,49,116,90,2024,7
PrefectHQ__fastmcp,11,23066,1767,0,25,138,19,138,135,104,114,90,2025,9
backstage__backstage,18,32641,7099,0,79,978,39,291,295,264,111,90,2021,6
excalidraw__excalidraw,3,117110,12576,0,21,165,12,176,176,153,110,90,2020,3
PaddlePaddle__PaddleOCR,3,70925,9839,0,15,394,10,73,71,68,110,90,2020,7
backstage__backstage,22,32641,7099,0,99,1033,42,320,296,255,107,90,2021,10
biomejs__biome,26,23775,868,0,31,159,14,148,148,136,100,90,2025,8
dataease__dataease,56,23425,4028,0,14,129,2,174,176,170,98,90,2025,9
vitejs__vite,48,78282,7842,0,38,104,18,105,113,100,96,90,2024,3
coollabsio__coolify,57,50871,3650,0,36,462,24,95,66,45,96,90,2025,9
valinet__ExplorerPatcher,38,31603,1282,17,1,11,0,1,1,0,96,90,2024,9
SagerNet__sing-box,36,30738,3590,3,1,16,0,16,12,3,95,90,2025,5
filamentphp__filament,44,29316,4088,0,72,673,38,149,151,117,92,90,2023,10
shadps4-emu__shadPS4,28,28357,1935,0,43,224,18,207,225,188,91,90,2025,1
vitest-dev__vitest,49,15983,1650,1,18,76,9,117,94,74,90,90,2025,12
filamentphp__filament,68,29316,4088,0,68,177,30,185,176,144,86,90,2025,10
helix-editor__helix,41,43032,3318,0,33,71,12,98,98,66,80,90,2023,10
vitejs__vite,55,78282,7842,0,37,176,19,186,200,170,60,90,2024,10
f__prompts.chat,4,146219,19304,0,9,35,8,84,28,9,11,90,2023,3
oobabooga__text-generation-webui,7,46068,5884,0,36,234,25,138,134,73,259,89,2023,6
modular__modular,9,25622,2770,0,46,184,15,30,23,18,177,89,2023,12
tailscale__tailscale,47,28560,2292,0,39,218,5,219,227,216,170,89,2023,11
bluesky-social__social-app,15,17715,2621,0,11,148,3,109,109,99,163,89,2023,8
songquanpeng__one-api,12,29742,5718,0,18,97,13,31,32,22,158,89,2024,3
run-llama__llama_index,29,47101,6859,0,77,161,44,178,173,157,151,89,2025,3
HKUDS__LightRAG,2,28529,4076,0,22,236,17,27,22,19,148,89,2024,11
microsoft__autogen,8,54714,8239,0,47,176,22,238,239,187,136,89,2024,3
langflow-ai__langflow,30,144963,8478,0,24,205,4,316,280,214,133,89,2025,7
microsoft__semantic-kernel,4,27284,4466,0,61,333,36,392,376,314,127,89,2023,5
PostHog__posthog,21,31333,2298,0,25,336,7,305,300,258,123,89,2021,9
hcengineering__platform,38,24470,1707,0,13,225,5,184,188,172,123,89,2024,9
dyad-sh__dyad,3,19676,2235,0,1,109,0,117,118,109,119,89,2025,6
opendatalab__MinerU,13,54771,4540,0,7,93,4,39,40,36,117,89,2025,2
QwikDev__qwik,24,21931,1380,0,52,227,24,240,241,228,114,89,2023,4
vitejs__vite,50,78282,7842,0,34,68,18,85,100,73,114,89,2024,5
withastro__astro,17,56986,3155,0,33,347,11,208,208,179,112,89,2022,7
vitest-dev__vitest,38,15983,1650,0,24,93,16,112,105,88,109,89,2025,1
hyprwm__Hyprland,4,33974,1574,0,19,284,16,31,28,25,105,89,2022,6
mantinedev__mantine,21,30576,2245,0,46,189,33,80,84,70,104,89,2022,9
openai__openai-agents-python,4,19082,3175,2,19,42,12,70,79,43,100,89,2025,6
AppFlowy-IO__AppFlowy,27,68177,4901,0,19,116,8,116,113,101,96,89,2023,8
vbenjs__vue-vben-admin,14,31565,8595,,0,0,0,26,24,19,95,89,2021,8
AppFlowy-IO__AppFlowy,37,68177,4901,0,12,107,4,121,122,107,94,89,2024,6
AlistGo__alist,16,49029,7988,0,3,96,2,22,22,18,92,89,2022,3
BeyondDimension__SteamTools,6,24494,1593,0,3,314,0,0,0,0,90,89,2021,5
actualbudget__actual,30,25090,2183,0,32,126,15,108,107,96,87,89,2024,9
QwenLM__Qwen3,4,26651,1889,0,5,6,3,5,2,2,86,89,2024,5
gkd-kit__gkd,5,36161,1756,0,1,70,0,4,3,0,82,89,2023,11
PaddlePaddle__PaddleOCR,63,70925,9839,1,9,22,0,46,37,32,79,89,2025,7
labring__FastGPT,13,27142,6927,0,6,13,4,20,22,14,76,89,2024,2
remotion-dev__remotion,36,37258,2277,0,13,958,6,113,115,110,74,89,2023,5
huggingface__datasets,28,21197,3106,0,21,88,8,105,94,81,74,89,2022,6
immersive-translate__immersive-translate,34,16969,979,0,1,12,0,0,0,0,74,89,2025,9
janhq__jan,18,40538,2529,0,8,206,3,90,89,82,66,89,2025,1
LazyVim__LazyVim,34,25133,1741,0,30,128,17,49,75,46,66,89,2025,9
mantinedev__mantine,38,30576,2245,0,23,182,14,33,38,29,63,89,2024,2
openimsdk__open-im-server,43,15689,2788,0,9,27,4,35,32,30,46,89,2024,11
elysiajs__elysia,12,17330,473,1,7,32,5,10,8,4,39,89,2023,11
novuhq__novu,39,38597,4222,0,19,159,4,201,193,166,22,89,2024,10
jingyaogong__minimind,16,39765,4806,0,1,37,0,6,22,1,18,89,2025,10
lss233__kirara-ai,28,18372,1830,0,7,130,4,21,22,18,10,89,2025,3
ultralytics__yolov5,68,56827,17432,9,2,3,0,8,15,3,1,89,2025,12
type-challenges__type-challenges,22,47676,5213,0,18,58,13,47,43,34,1361,88,2022,4
logseq__logseq,6,41115,2455,0,10,236,8,0,0,0,190,88,2020,10
warpdotdev__Warp,23,25963,617,5,1,11,0,2,2,1,155,88,2023,5
tailscale__tailscale,44,28560,2292,0,28,251,4,274,262,244,154,88,2023,8
unionlabs__union,10,74303,3844,0,7,643,0,112,116,104,128,88,2024,2
ToolJet__ToolJet,14,37448,4952,0,30,114,13,112,111,99,125,88,2022,4
activepieces__activepieces,9,20913,3320,0,29,656,18,184,172,161,123,88,2023,8
PaddlePaddle__PaddleOCR,6,70925,9839,3,2,25,0,61,60,56,119,88,2020,10
twentyhq__twenty,27,39950,5219,0,30,429,5,487,475,430,115,88,2025,2
element-plus__element-plus,49,27169,19859,0,37,86,19,95,126,87,104,88,2024,7
langflow-ai__langflow,21,144963,8478,0,29,214,10,251,250,221,102,88,2024,10
lizongying__my-tv,6,32262,3623,0,1,1,0,2,3,0,99,88,2024,5
biomejs__biome,21,23775,868,0,22,172,8,185,179,168,95,88,2025,3
immich-app__immich,20,93083,4941,0,34,139,20,150,153,131,94,88,2023,9
helix-editor__helix,45,43032,3318,0,58,94,30,109,123,92,94,88,2024,2
activepieces__activepieces,2,20913,3320,0,14,815,8,165,175,155,92,88,2023,1
bluesky-social__social-app,16,17715,2621,0,15,132,9,119,116,107,92,88,2023,9
pola-rs__polars,20,37486,2630,0,15,241,7,201,201,193,91,88,2021,12
backstage__backstage,61,32641,7099,0,87,866,29,270,259,214,90,88,2025,1
1Panel-dev__1Panel,34,33519,2968,0,4,82,0,127,126,125,89,88,2025,4
immersive-translate__immersive-translate,28,16969,979,7,1,15,0,0,0,0,88,88,2025,3
ReVanced__revanced-manager,20,25956,1031,4,8,66,2,60,54,49,72,88,2023,10
opentofu__opentofu,6,27943,1163,0,25,52,13,81,77,66,71,88,2024,1
withastro__astro,49,56986,3155,0,23,123,7,122,123,110,70,88,2025,3
leiurayer__downkyi,16,24091,2559,3,3,30,2,4,5,3,70,88,2022,3
lm-sys__FastChat,8,39414,4779,2,30,44,18,58,52,43,66,88,2023,10
vercel__turborepo,27,29837,2260,0,26,131,9,146,163,130,32,88,2023,12
lss233__kirara-ai,30,18372,1830,1,3,29,0,6,6,6,6,88,2025,5
warpdotdev__Warp,50,25963,617,22,1,7,0,0,0,0,295,87,2025,8
xtekky__gpt4free,3,65713,13667,0,40,185,31,92,77,55,185,87,2023,5
langflow-ai__langflow,24,144963,8478,0,44,289,17,353,343,291,161,87,2025,1
helix-editor__helix,26,43032,3318,0,56,170,21,174,143,122,149,87,2022,7
sgl-project__sglang,13,23658,4525,0,66,310,39,383,361,311,148,87,2025,1
usebruno__bruno,25,41017,2134,0,30,105,18,90,125,74,138,87,2024,9
invoke-ai__InvokeAI,15,26783,2776,0,39,412,15,119,115,105,135,87,2023,10
QuivrHQ__quivr,1,38949,3714,0,19,161,19,80,72,54,133,87,2023,5
SigNoz__signoz,35,25821,1973,0,15,114,6,141,133,119,131,87,2023,11
coollabsio__coolify,45,50871,3650,0,44,695,32,126,125,110,131,87,2024,9
clash-verge-rev__clash-verge-rev,3,98007,7152,7,6,57,4,9,9,7,117,87,2024,1
filamentphp__filament,66,29316,4088,0,91,601,43,202,186,147,113,87,2025,8
usebruno__bruno,33,41017,2134,0,22,155,8,99,76,54,113,87,2025,5
tailscale__tailscale,17,28560,2292,0,11,155,2,83,80,72,113,87,2021,5
lencx__ChatGPT,2,54393,6210,0,8,182,7,32,29,25,112,87,2023,1
PostHog__posthog,60,31333,2298,0,43,439,6,537,525,443,106,87,2024,12
open-webui__open-webui,4,124575,17612,0,24,428,21,129,129,118,105,87,2024,1
bevyengine__bevy,34,44695,4396,0,64,136,25,175,180,0,104,87,2022,10
facebook__lexical,28,22980,2090,0,26,95,11,111,104,94,104,87,2023,3
openimsdk__open-im-server,28,15689,2788,0,12,93,4,146,137,97,102,87,2023,8
ToolJet__ToolJet,17,37448,4952,0,25,126,10,149,151,134,97,87,2022,7
OpenBMB__MiniCPM-o,5,23881,1841,0,14,149,8,18,19,16,97,87,2024,5
backstage__backstage,26,32641,7099,0,66,1406,25,461,446,386,94,87,2022,2
backstage__backstage,64,32641,7099,0,82,938,29,291,303,250,92,87,2025,4
vitejs__vite,7,78282,7842,0,14,67,7,36,47,32,87,87,2020,10
SagerNet__sing-box,35,30738,3590,0,7,41,2,25,28,13,84,87,2025,4
jingyaogong__minimind,8,39765,4806,4,1,32,0,9,5,0,79,87,2025,2
ghostty-org__ghostty,21,44251,1695,0,21,478,12,119,118,111,77,87,2023,11
github__github-mcp-server,8,27169,3621,0,15,41,6,84,103,41,70,87,2025,10
PostHog__posthog,39,31333,2298,0,26,352,2,417,435,365,65,87,2023,3
medusajs__medusa,69,32086,4074,0,30,199,12,196,212,195,62,87,2025,9
jina-ai__serve,29,21830,2241,0,15,163,4,74,80,63,62,87,2022,6
withastro__astro,53,56986,3155,0,31,97,16,85,88,77,58,87,2025,7
logseq__logseq,61,41115,2455,0,5,563,1,31,33,10,41,87,2025,5
warpdotdev__Warp,32,25963,617,1,1,2,0,2,2,1,294,86,2024,2
charmbracelet__crush,4,20306,1259,0,28,331,19,215,185,137,240,86,2025,8
run-llama__llama_index,7,47101,6859,0,59,182,47,207,210,182,218,86,2023,5
ggml-org__llama.cpp,10,95602,15021,0,71,150,46,166,155,125,210,86,2023,12
Kilo-Org__kilocode,7,15756,2037,0,56,559,36,213,192,168,184,86,2025,9
cline__cline,10,58247,5819,0,52,272,29,355,332,249,181,86,2025,4
tailscale__tailscale,49,28560,2292,0,25,98,2,119,112,100,172,86,2024,1
browser-use__browser-use,5,78763,9320,0,46,410,36,188,146,96,171,86,2025,2
Aider-AI__aider,24,40837,3904,0,14,469,11,53,17,9,171,86,2025,4
logseq__logseq,16,41115,2455,0,12,286,6,54,56,44,159,86,2021,8
astral-sh__ruff,36,45873,1786,0,45,397,12,457,435,382,144,86,2025,7
astral-sh__ruff,39,45873,1786,0,50,322,18,374,368,320,139,86,2025,10
feder-cr__Jobs_Applier_AI_Agent_AIHawk,1,29363,4467,,0,0,0,40,35,14,138,86,2024,8
dataease__dataease,25,23425,4028,0,11,191,1,100,100,96,135,86,2023,2
vitejs__vite,8,78282,7842,0,18,55,11,62,48,37,123,86,2020,11
mem0ai__mem0,2,47779,5304,3,22,150,20,161,158,147,116,86,2023,7
waydabber__BetterDisplay,17,29870,550,0,1,28,0,0,0,0,110,86,2023,2
MHSanaei__3x-ui,32,30696,5968,0,17,110,9,33,34,28,107,86,2025,9
vitejs__vite,3,78282,7842,4,15,156,9,57,47,33,106,86,2020,6
bevyengine__bevy,52,44695,4396,0,74,168,21,203,214,169,104,86,2024,4
OpenBMB__MiniCPM-o,6,23881,1841,1,10,43,6,14,8,8,103,86,2024,6
w-okada__voice-changer,14,19732,2245,1,6,73,2,9,6,5,103,86,2023,9
PostHog__posthog,57,31333,2298,0,38,393,8,458,465,394,102,86,2024,9
langchain-ai__langchain,38,127113,20906,1,34,141,18,255,251,149,102,86,2025,11
backstage__backstage,21,32641,7099,0,89,947,43,250,267,232,102,86,2021,9
mastra-ai__mastra,9,21298,1582,0,52,558,29,555,521,438,95,86,2025,4
docling-project__docling,7,53867,3645,0,19,56,11,63,57,52,93,86,2025,1
agno-agi__agno,33,38063,5037,0,26,99,16,198,213,180,91,86,2025,1
OpenBMB__MiniCPM-o,13,23881,1841,3,14,75,6,17,15,13,84,86,2025,1
rustdesk__rustdesk,63,107767,16025,0,17,57,3,87,85,49,83,86,2025,11
ReVanced__revanced-manager,18,25956,1031,0,9,78,3,39,37,34,78,86,2023,8
1Panel-dev__1Panel,31,33519,2968,3,2,26,0,71,72,72,74,86,2025,1
immersive-translate__immersive-translate,19,16969,979,3,2,8,0,2,2,0,74,86,2024,6
FuelLabs__fuels-ts,35,43371,1366,0,12,100,1,121,127,96,65,86,2024,7
binary-husky__gpt_academic,7,70116,8395,0,5,130,1,6,12,7,50,86,2023,9
langchain-ai__langgraph,26,24941,4363,0,31,91,17,114,179,97,42,86,2025,9
BeyondDimension__SteamTools,10,24494,1593,2,3,97,0,0,0,0,36,86,2021,9
deepseek-ai__DeepSeek-R1,6,91850,11772,81,0,0,0,0,0,0,34,86,2025,6
daytonaio__daytona,15,59541,5058,0,9,19,2,42,27,19,24,86,2025,4
logseq__logseq,54,41115,2455,0,10,263,4,17,36,12,19,86,2024,10
microsoft__Web-Dev-For-Beginners,58,95308,15155,0,7,157,3,50,85,42,5,86,2025,8
deepseek-ai__DeepSeek-V3,2,101664,16526,2,9,19,7,54,19,5,226,85,2025,1
logseq__logseq,7,41115,2455,0,9,357,2,37,30,28,173,85,2020,11
ggml-org__llama.cpp,6,95602,15021,0,67,199,42,244,220,192,166,85,2023,8
kortix-ai__suna,10,19392,3363,0,19,579,11,152,149,127,151,85,2025,7
huggingface__diffusers,5,32824,6782,0,37,214,26,245,221,198,143,85,2022,9
docling-project__docling,5,53867,3645,0,18,66,11,77,67,56,138,85,2024,11
FuelLabs__sway,23,61936,5430,0,21,100,2,110,111,100,129,85,2022,11
element-plus__element-plus,34,27169,19859,0,23,53,13,128,81,53,120,85,2023,4
dataease__dataease,49,23425,4028,0,8,203,0,182,182,177,119,85,2025,2
calcom__cal.com,43,40283,11985,0,38,242,12,289,300,245,117,85,2024,9
element-plus__element-plus,38,27169,19859,0,36,69,16,117,97,69,113,85,2023,8
warpdotdev__Warp,35,25963,617,29,1,10,0,0,0,0,113,85,2024,5
langflow-ai__langflow,17,144963,8478,0,20,2097,8,284,260,220,108,85,2024,6
Aider-AI__aider,14,40837,3904,0,12,391,9,20,21,14,103,85,2024,6
tailscale__tailscale,24,28560,2292,0,15,99,6,87,98,85,100,85,2021,12
actualbudget__actual,31,25090,2183,0,39,127,19,133,118,99,96,85,2024,10
langgenius__dify,6,129998,20242,1,14,92,5,95,98,93,93,85,2023,9
langgenius__dify,7,129998,20242,0,16,75,5,79,79,78,92,85,2023,10
withastro__astro,40,56986,3155,1,33,191,13,117,117,103,91,85,2024,6
actualbudget__actual,40,25090,2183,0,33,78,15,83,83,64,89,85,2025,7
paperless-ngx__paperless-ngx,24,36814,2340,0,16,139,11,107,103,88,86,85,2024,1
vitejs__vite,42,78282,7842,0,32,95,15,98,114,83,80,85,2023,9
immersive-translate__immersive-translate,6,16969,979,0,8,373,3,4,4,3,80,85,2023,5
marticliment__UniGetUI,46,21247,720,0,7,231,2,58,62,50,79,85,2025,3
medusajs__medusa,48,32086,4074,2,30,78,17,90,100,79,73,85,2023,12
modular__modular,19,25622,2770,0,80,1353,6,79,78,10,69,85,2024,10
xtekky__gpt4free,25,65713,13667,0,5,117,3,39,36,31,67,85,2025,3
excalidraw__excalidraw,12,117110,12576,1,22,135,8,182,178,130,64,85,2020,12
unionlabs__union,27,74303,3844,0,11,453,1,105,99,83,46,85,2025,7
Textualize__textual,40,34384,1102,0,10,231,5,64,64,58,45,85,2024,7
vbenjs__vue-vben-admin,49,31565,8595,0,8,140,6,15,16,11,38,85,2024,7
WerWolv__ImHex,14,52654,2338,0,5,102,3,9,10,8,30,85,2021,12
QwikDev__qwik,53,21931,1380,0,10,130,2,94,95,76,25,85,2025,9
ManimCommunity__manim,64,36831,2661,9,9,29,3,40,40,30,12,85,2025,8
warpdotdev__Warp,25,25963,617,16,1,1,0,0,0,0,168,84,2023,7
zed-industries__zed,21,75691,7024,0,9,609,1,107,106,98,148,84,2022,10
microsoft__semantic-kernel,9,27284,4466,0,26,130,9,179,155,130,137,84,2023,10
eyaltoledano__claude-task-master,2,25575,2432,0,8,206,4,102,90,53,125,84,2025,4
PostHog__posthog,2,31333,2298,0,13,344,11,119,112,104,119,84,2020,2
lss233__kirara-ai,3,18372,1830,0,8,256,7,15,14,13,119,84,2023,2
juspay__hyperswitch,35,40442,4564,1,39,166,3,188,176,154,118,84,2025,8
astral-sh__ruff,40,45873,1786,0,47,349,9,404,390,343,116,84,2025,11
backstage__backstage,28,32641,7099,0,64,1173,26,491,483,374,114,84,2022,4
juspay__hyperswitch,34,40442,4564,0,44,163,7,183,179,151,111,84,2025,7
FuelLabs__sway,20,61936,5430,0,21,119,5,139,133,121,108,84,2022,8
activepieces__activepieces,35,20913,3320,0,44,1334,12,335,314,232,104,84,2025,10
backstage__backstage,43,32641,7099,0,83,573,25,227,230,181,103,84,2023,7
onlook-dev__onlook,9,24729,1844,0,15,148,9,192,190,148,99,84,2025,2
vbenjs__vue-vben-admin,57,31565,8595,0,10,46,5,105,105,39,98,84,2025,3
vitest-dev__vitest,47,15983,1650,0,29,126,15,130,112,100,96,84,2025,10
mihomo-party-org__clash-party,1,21000,1696,0,8,337,8,13,13,11,96,84,2024,8
shadcn-ui__ui,35,107051,7937,0,37,54,22,141,115,45,95,84,2025,11
facebook__lexical,27,22980,2090,0,36,78,23,90,97,78,91,84,2023,2
FuelLabs__fuels-ts,34,43371,1366,0,11,95,2,119,121,85,88,84,2024,6
biomejs__biome,9,23775,868,0,36,194,18,191,188,175,87,84,2024,3
actualbudget__actual,44,25090,2183,0,36,123,21,134,142,109,84,84,2025,11
xiaojieonly__Ehviewer_CN_SXJ,48,22498,594,0,1,18,0,0,0,0,83,84,2024,10
heroui-inc__heroui,43,28189,2061,2,13,27,7,47,44,27,80,84,2024,10
rustdesk__rustdesk,47,107767,16025,0,21,186,7,144,143,125,79,84,2024,7
juspay__hyperswitch,25,40442,4564,0,45,147,12,204,161,137,75,84,2024,10
